,Physician_Name,NPI,Physician_Specialty,Company,Nature_of_Payment,Therapeutic_Area,Drug,Total_Payment,Number_of_Payments
145,"ANDERSON, JULIE",1801825278.0,FAMILY MEDICINE,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,14.98,1
146,"ANDERSON, JULIE",1801825278.0,FAMILY MEDICINE,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,CARDIOVASCULAR,ELIQUIS,14.92,1
147,"ANDERSON, JULIE",1801825278.0,FAMILY MEDICINE,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,18.21,1
148,"ANDERSON, JULIE",1801825278.0,OBSTETRICS & GYNECOLOGY,ORGANON LLC,FOOD AND BEVERAGE,ETONOGESTREL,NEXPLANON,12.73,1
149,"ANDERSON, LEANNE",1093154403.0,FAMILY MEDICINE,"LILLY USA, LLC",FOOD AND BEVERAGE,DIABETES,TRULICITY,14.31,1
150,"ANDERSON, MARYPAT",1184606667.0,OBSTETRICS & GYNECOLOGY,ORGANON LLC,FOOD AND BEVERAGE,ETONOGESTREL,NEXPLANON,21.56,1
151,"ANDERSON, MATTHEW",1326488008.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,15.65,1
152,"ANDERSON, MATTHEW",1326488008.0,OPTOMETRIST,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,23.25,1
153,"ANDERSON, MICHAEL",1437446887.0,FOOT AND ANKLE SURGERY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,VRAYLAR,25.51,1
154,"ANDERSON, MOLLY",1538513155.0,FAMILY MEDICINE,"CORIUM, LLC",FOOD AND BEVERAGE,TREATMENT OF DEMENTIA OF THE ALZHEIMERS TYPE,ADLARITY,19.19,1
155,"ANDERSON, ROBERT",1083142251.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,15.29,1
156,"ANDERSON, ROBERT",1831208685.0,DERMATOLOGY,"IRONWOOD PHARMACEUTICALS, INC",FOOD AND BEVERAGE,GI,LINZESS,15.79,1
157,"ANEES, MOHAMMAD",1124137104.0,GASTROENTEROLOGY,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,TRULANCE,79.93,1
158,"ANGHEL-FILIP, ANEMONA",1417112517.0,INTERVENTIONAL CARDIOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,67.44,4
159,"ANGHEL-FILIP, ANEMONA",1417112517.0,INTERVENTIONAL CARDIOLOGY,"ESPERION THERAPEUTICS, INC.",FOOD AND BEVERAGE,ANTILIPEMIC AGENTS,NEXLETOL,56.4,4
160,"ANGHEL-FILIP, ANEMONA",1417112517.0,INTERVENTIONAL CARDIOLOGY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,56.510000000000005,4
161,"ANGHEL-FILIP, ANEMONA",1417112517.0,INTERVENTIONAL CARDIOLOGY,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,CARDIOVASCULAR,VERQUVO,25.560000000000002,2
162,"ANGHEL-FILIP, ANEMONA",1417112517.0,INTERVENTIONAL CARDIOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,ENTRESTO,109.52,10
163,"ANGHEL-FILIP, ANEMONA",1417112517.0,INTERVENTIONAL CARDIOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,LEQVIO,24.419999999999998,3
164,"ANGHEL-FILIP, ANEMONA",1417112517.0,INTERVENTIONAL CARDIOLOGY,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,RYBELSUS,26.54,2
165,"ANJUM, ZURYA",1376581785.0,PSYCHIATRY,"ITI, INC.",FOOD AND BEVERAGE,PSYCHIATRY,CAPLYTA,12.17,1
166,"ANJUM, ZURYA",1376581785.0,PSYCHIATRY,LUNDBECK LLC,FOOD AND BEVERAGE,PSYCHIATRY,REXULTI,43.59,3
167,"ANJUM, ZURYA",1376581785.0,PSYCHIATRY,"NEUROCRINE BIOSCIENCES, INC.",FOOD AND BEVERAGE,NEUROPSYCHIATRY,INGREZZA,13.48,1
168,"ANJUM, ZURYA",1376581785.0,PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.",FOOD AND BEVERAGE,PSYCHIATRY,ABILIFY MAINTENA,14.21,1
169,"ANTONARAKIS, EMMANUEL",1568528768.0,MEDICAL ONCOLOGY,ASTRAZENECA PHARMACEUTICALS LP,CONSULTING FEE,ONCOLOGY,LYNPARZA,1370.0,1
170,"ANTONARAKIS, EMMANUEL",1568528768.0,MEDICAL ONCOLOGY,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,ONCOLOGY,LYNPARZA,147.36,2
171,"ANTONARAKIS, EMMANUEL",1568528768.0,MEDICAL ONCOLOGY,ASTRAZENECA UK LIMITED,CONSULTING FEE,ONCOLOGY,LYNPARZA,3082.5,2
172,"ANTONARAKIS, EMMANUEL",1568528768.0,MEDICAL ONCOLOGY,CORCEPT THERAPEUTICS,CONSULTING FEE,ENDOCRINOLOGY,KORLYM,500.0,1
173,"ANTONARAKIS, EMMANUEL",1568528768.0,MEDICAL ONCOLOGY,PFIZER INC.,FOOD AND BEVERAGE,ONCOLOGY,INLYTA,17.11,1
174,"APONTE, ANGEL",1992202071.0,INTERNAL MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,ANTI-INFECTIVE,DALVANCE,19.73,1
175,"APONTE, ELISABETH",1871725986.0,OPHTHALMOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,22.5,1
176,"ARAIN, MUSTAFA",1669420618.0,INTERNAL MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,ENDOCRINOLOGY,CREON,29.65,2
177,"ARCHIBALD SWANSON, ALICIA",1134583446.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,16.67,1
178,"ARCHIBALD, LAURA",1790348472.0,DERMATOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,IMMUNOLOGY,SOTYKTU,40.12,1
179,"ARDIS, ROBERT",1992740849.0,ANESTHESIOLOGY,"HERON THERAPEUTICS, INC.",FOOD AND BEVERAGE,POSTOPERATIVE PAIN,ZYNRELEF,80.52,1
180,"ARMANYOUS, SHERIF",1235795113.0,SURGERY,"HERON THERAPEUTICS, INC.",FOOD AND BEVERAGE,POSTOPERATIVE PAIN,ZYNRELEF,46.54,1
181,"ARMSTRONG, DALE",1871586578.0,PSYCHIATRY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,VRAYLAR,28.21,1
182,"ARNDT, PATRICK",1265546345.0,INTERNAL MEDICINE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
183,"ASCHENBECK, KELLY",1023505443.0,DERMATOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,IMMUNOLOGY,SOTYKTU,14.73,1
184,"ASHE, KAREN",1699955138.0,NEUROLOGY,TELIX PHARMACEUTICALS,FOOD AND BEVERAGE,PROSTATE CANCER THERAPY,ILLUCCIX,19.41,1
185,"ASHFORD, MELVIN",1053321745.0,OBSTETRICS & GYNECOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,ORILISSA,14.15,1
186,"ASHFORD, MELVIN",1053321745.0,OBSTETRICS & GYNECOLOGY,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,13.12,1
187,"ASHMORE, ZACHARY",1740785617.0,PHYSICAL MEDICINE & REHABILITATION,"GRT US HOLDING, INC.",FOOD AND BEVERAGE,PAIN MANAGEMENT,QUTENZA,60.0,1
188,"ASP, JONATHAN",1467463802.0,ORTHOPAEDIC SURGERY,"HERON THERAPEUTICS, INC.",FOOD AND BEVERAGE,POSTOPERATIVE PAIN,ZYNRELEF,30.0,1
189,"ATKINSON, PAUL",1023227162.0,NEUROLOGY,JAZZ PHARMACEUTICALS INC.,FOOD AND BEVERAGE,NEUROLOGY,EPIDIOLEX,36.27,1
190,"ATKINSON, PAUL",1023227162.0,NEUROLOGY,"SK LIFE SCIENCE, INC.",HONORARIA,NEUROLOGY,XCOPRI,1575.0,1
191,"ATKINSON, PAUL",1023227162.0,NEUROLOGY,"UCB, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",NEUROLOGY,FINTEPLA,2345.0,1
192,"ATKINSON, PAUL",1023227162.0,NEUROLOGY,"UCB, INC.",FOOD AND BEVERAGE,NEUROLOGY,FINTEPLA,109.68,3
193,"ATKINSON, PAUL",1023227162.0,NEUROLOGY,"UCB, INC.",TRAVEL AND LODGING,NEUROLOGY,FINTEPLA,1544.78,3
194,"AUGUSTYN, BOBBI",1104868306.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,37.86,3
195,"AUSTING, ALEXANDER",1588233639.0,OPTOMETRIST,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,14.38,1
196,"AUSTING, ALEXANDER",1588233639.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,23.85,1
197,"AUSTING, ALEXANDER",1588233639.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,28.34,2
198,"AVELLO, WALDO",1922057322.0,GASTROENTEROLOGY,CELGENE CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,34.870000000000005,2
199,"AVENDANO, PABLO",1730509563.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,11.87,1
200,"AWAD, OMAR",1619942174.0,OPHTHALMOLOGY,"KALA PHARMACEUTICALS, INC.",CONSULTING FEE,OCULAR,EYSUVIS,1200.0,1
201,"AWOSIKA, OLUKAYODE",1073539953.0,PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.",FOOD AND BEVERAGE,PSYCHIATRY,ABILIFY MAINTENA,33.34,1
202,"AXNESS, ARIK",1497029276.0,CHIROPRACTOR,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,LILETTA,12.4,1
203,"AZHER, TAYABA",1386140481.0,OPHTHALMOLOGY,ALCON VISION LLC,FOOD AND BEVERAGE,GLAUCOMA,RHOPRESSA,23.17,1
204,"BABER, OMAR",1457799850.0,CARDIOVASCULAR DISEASE,"CHIESI USA, INC.",FOOD AND BEVERAGE,CARDIOVASCULAR,KENGREAL,15.58,1
205,"BABOVIC-VUKSANOVIC, DUSICA",1588634992.0,CLINICAL GENETICS (M.D.),"ALEXION PHARMACEUTICALS, INC.",CONSULTING FEE,ONCOLOGY,KOSELUGO,6580.0,3
206,"BABOVIC-VUKSANOVIC, DUSICA",1588634992.0,CLINICAL GENETICS (M.D.),"ALEXION PHARMACEUTICALS, INC.",TRAVEL AND LODGING,ONCOLOGY,KOSELUGO,1076.97,4
207,"BACANER, NINA",1578576021.0,INTERNAL MEDICINE,NESTLE HEALTHCARE NUTRITION INC.,FOOD AND BEVERAGE,ENDOCRINE PANCREATIC INSUFFICIENCY,ZENPEP,12.73,1
208,"BACHANOVA, VERONIKA",1841327665.0,HEMATOLOGY & ONCOLOGY,ASTRAZENECA PHARMACEUTICALS LP,CONSULTING FEE,ONCOLOGY,CALQUENCE,3082.5,1
209,"BACHANOVA, VERONIKA",1841327665.0,HEMATOLOGY & ONCOLOGY,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,ONCOLOGY,CALQUENCE,68.74000000000001,2
210,"BACHANOVA, VERONIKA",1841327665.0,HEMATOLOGY & ONCOLOGY,ASTRAZENECA PHARMACEUTICALS LP,TRAVEL AND LODGING,ONCOLOGY,CALQUENCE,232.9,1
211,"BACHMANN, LUCAS",1003137449.0,PSYCHIATRY,"CORIUM, LLC",FOOD AND BEVERAGE,CNS STIMULANT FOR ADHD,AZSTARYS,42.11,3
212,"BADLEY, ANDREW",1194799585.0,INFECTIOUS DISEASE,"GILEAD SCIENCES, INC.",CONSULTING FEE,COVID-19,VEKLURY,735.0,1
213,"BADWAL, KARUN",1003268483.0,GERIATRIC MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,ANTI-INFECTIVE,AVYCAZ,23.77,1
214,"BADWAL, KARUN",1003268483.0,GERIATRIC MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,123.25,6
215,"BADWAL, KARUN",1003268483.0,GERIATRIC MEDICINE,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,CARDIOVASCULAR,VERQUVO,39.22,2
216,"BADWAL, KARUN",1003268483.0,GERIATRIC MEDICINE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,ENTRESTO,52.98,3
217,"BAERG, CAROLINE",1518946573.0,FAMILY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,VRAYLAR,12.66,1
218,"BAERG, CAROLINE",1518946573.0,FAMILY MEDICINE,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,13.01,1
219,"BAERG, CAROLINE",1518946573.0,FAMILY MEDICINE,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,UROLOGY,MYRBETRIQ,12.72,1
220,"BAERG, CAROLINE",1518946573.0,FAMILY MEDICINE,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,15.77,1
221,"BAERG, CAROLINE",1518946573.0,FAMILY MEDICINE,NESTLE HEALTHCARE NUTRITION INC.,FOOD AND BEVERAGE,ENDOCRINE PANCREATIC INSUFFICIENCY,ZENPEP,14.24,1
222,"BAIG, MIRZA",1265404073.0,GASTROENTEROLOGY,"INTERCEPT PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,HEPATOLOGY / GASTROENTEROLOGY,OCALIVA,28.13,1
223,"BAIG, SARA",1891182069.0,RHEUMATOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,CARDIOVASCULAR,ELIQUIS,53.68,3
224,"BAILLARGEON, BETHANY",1598076119.0,DENTIST,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.06,1
225,"BAIM, ADAM",1922592963.0,OPHTHALMOLOGY,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,TEPEZZA,TEPEZZA,49.73,1
226,"BAINES, JONATHAN",1881627636.0,FAMILY MEDICINE,"GENENTECH USA, INC.",FOOD AND BEVERAGE,VIROLOGY & SPECIALTY CARE,XOFLUZA,4.33,1
227,"BAJWA, SWACHETAN",1447526652.0,FAMILY MEDICINE,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,CARDIOVASCULAR,ELIQUIS,16.21,1
228,"BAKEN, LESLIE",1750368288.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
229,"BAKER, AMANDA",1134157936.0,EMERGENCY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,QULIPTA,12.49,1
230,"BAKER, SETH",1386746972.0,CRITICAL CARE MEDICINE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
231,"BAKER, SETH",1386746972.0,INTERNAL MEDICINE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,DIABETES,JARDIANCE,100.69,4
232,"BAKRI, SOPHIE",1861464455.0,OPHTHALMOLOGY,ABBVIE INC.,CONSULTING FEE,RETINA,OZURDEX,500.0,1
233,"BAKRI, SOPHIE",1861464455.0,OPHTHALMOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,RETINA,OZURDEX,145.05,2
234,"BAKRI, SOPHIE",1861464455.0,OPHTHALMOLOGY,"EYEPOINT PHARMACEUTICALS US, INC.",CONSULTING FEE,CHRONIC NON-INFECTIOUS POSTERIOR SEGMENT UVEITIS,YUTIQ,4037.5,2
235,"BAKRI, SOPHIE",1861464455.0,OPHTHALMOLOGY,"EYEPOINT PHARMACEUTICALS US, INC.",FOOD AND BEVERAGE,CHRONIC NON-INFECTIOUS POSTERIOR SEGMENT UVEITIS,YUTIQ,166.72,1
236,"BAKRI, SOPHIE",1861464455.0,OPHTHALMOLOGY,"EYEPOINT PHARMACEUTICALS US, INC.",FOOD AND BEVERAGE,POSTOPERATIVE INFLAMMATION,DEXYCU,82.03,1
237,"BAKRI, SOPHIE",1861464455.0,OPHTHALMOLOGY,"GENENTECH, INC.",CONSULTING FEE,IMMUNOLOGY AND OPHTHALMOLOGY,VABYSMO,2940.0,1
238,"BAKRI, SOPHIE",1861464455.0,OPHTHALMOLOGY,"KALA PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,OCULAR,INVELTYS,28.67,1
239,"BAKY, FADY",1699260877.0,SURGERY,"AVEO PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,ONCOLOGY,FOTIVDA,36.37,1
240,"BALDUS, LOREN",1114339629.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,29.85,2
241,"BANCOS, IRINA",1659552412.0,"ENDOCRINOLOGY, DIABETES & METABOLISM",HRA PHARMA RARE DISEASES,CONSULTING FEE,CUSHING SYNDROME,METOPIRONE,3900.0,3
242,"BANCOS, IRINA",1659552412.0,"ENDOCRINOLOGY, DIABETES & METABOLISM","PROGENICS PHARMACEUTICALS, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",RADIOPHARMACEUTICAL,AZEDRA,2091.0,1
243,"BANCOS, IRINA",1659552412.0,"ENDOCRINOLOGY, DIABETES & METABOLISM","PROGENICS PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,RADIOPHARMACEUTICAL,AZEDRA,95.49,1
244,"BANCOS, IRINA",1659552412.0,INTERNAL MEDICINE,CORCEPT THERAPEUTICS,FOOD AND BEVERAGE,ENDOCRINOLOGY,KORLYM,97.45,1
245,"BANDELIN, PAUL",1497805071.0,DERMATOLOGY,"DERMAVANT SCIENCES, INC.",EDUCATION,DERMATOLOGY,VTAMA,14.0,1
246,"BANDELIN, PAUL",1497805071.0,DERMATOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,IMMUNOLOGY,SOTYKTU,12.57,1
247,"BANDELIN, PAUL",1497805071.0,DERMATOLOGY,INCYTE CORPORATION,FOOD AND BEVERAGE,DERMATOLOGY,OPZELURA,18.19,1
248,"BANDELIN, PAUL",1497805071.0,DERMATOLOGY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,40.29,3
249,"BANDELIN, PAUL",1497805071.0,DERMATOLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,TALTZ,26.1,2
250,"BANERJEE, DIPTI",1992236673.0,OBSTETRICS & GYNECOLOGY,UROVANT SCIENCES INC,FOOD AND BEVERAGE,UROLOGY,GEMTESA,16.29,1
251,"BANKS, AMY",1861437113.0,FAMILY MEDICINE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,DIABETES,TRADJENTA,14.17,1
252,"BANKWALA, ZEHYANI",1447298484.0,CARDIOVASCULAR DISEASE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,LEQVIO,15.77,1
253,"BARANWAL, ANMOL",1083008643.0,INTERNAL MEDICINE,"G1 THERAPEUTICS, INC.",FOOD AND BEVERAGE,ONCOLOGY,COSELA,19.57,1
254,"BARNACLE, SCOTT",1457346926.0,OBSTETRICS & GYNECOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,WOMENS HEALTH,MIRENA,15.91,1
255,"BARNACLE, SCOTT",1457346926.0,OBSTETRICS & GYNECOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,53.97,3
256,"BARNACLE, SCOTT",1457346926.0,OBSTETRICS & GYNECOLOGY,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,30.3,2
257,"BARNES, JASON",1154851079.0,OTOLARYNGOLOGY,"OPTINOSE US, INC.",FOOD AND BEVERAGE,"OTOLARYNGOLOGY (EAR, NOSE, THROAT)",XHANCE,12.96,1
258,"BARNHART, STEPHEN",1982702718.0,EMERGENCY MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,12.78,1
259,"BARNSTUBLE, BRENT",1720028038.0,FAMILY MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,OZEMPIC,12.32,1
260,"BARNSTUBLE, BRENT",1720028038.0,FAMILY MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,RYBELSUS,12.28,1
261,"BARRICK, BENJAMIN",1659718427.0,DERMATOLOGY,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,38.33,2
262,"BARTH, GREGORY",1184625659.0,OTOLARYNGOLOGY,"OPTINOSE US, INC.",FOOD AND BEVERAGE,"OTOLARYNGOLOGY (EAR, NOSE, THROAT)",XHANCE,25.93,2
263,"BARTH, TARA",1548499676.0,CORNEAL AND CONTACT MANAGEMENT,ABBVIE INC.,FOOD AND BEVERAGE,GLAUCOMA,DURYSTA,13.02,1
264,"BARTH, TARA",1548499676.0,CORNEAL AND CONTACT MANAGEMENT,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,18.26,1
265,"BARTH, TARA",1548499676.0,CORNEAL AND CONTACT MANAGEMENT,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.05,1
266,"BARTON, SUSAN",1235145574.0,GASTROENTEROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,GASTROENTEROLOGY,VIBERZI,23.21,1
267,"BARTON, SUSAN",1235145574.0,GASTROENTEROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,VIROLOGY,MAVYRET,29.55,1
268,"BARTON, SUSAN",1235145574.0,GASTROENTEROLOGY,FERRING PHARMACEUTICALS INC.,FOOD AND BEVERAGE,GASTROENTEROLOGY,CIMZIA,13.9,1
269,"BARTON, SUSAN",1235145574.0,GASTROENTEROLOGY,"TAKEDA PHARMACEUTICALS U.S.A., INC.",FOOD AND BEVERAGE,INTERNAL MEDICINE,GATTEX,15.95,1
270,"BASU, APARNA",1306286356.0,HEMATOLOGY & ONCOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,ONCOLOGY,ONUREG,120.38,1
271,"BATOG, CRISTINA",1740595982.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,32.48,2
272,"BAUER, LEIGH",1427366814.0,GYNECOLOGY,"THERAPEUTICSMD, INC.",FOOD AND BEVERAGE,OBSTETRICS GYNECOLOGY WOMEN'S HEALTH,BIJUVA,15.6,1
273,"BAUMGARTEN, LEE",1801255815.0,UROLOGY,"ACCORD HEALTHCARE, INC.",FOOD AND BEVERAGE,ONCOLOGY,CAMCEVI,24.81,1
274,"BAUMGARTEN, LEE",1801255815.0,UROLOGY,"PROGENICS PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,RADIOPHARMACEUTICAL,PYLARIFY,23.77,1
275,"BAUMGARTEN, LEE",1801255815.0,UROLOGY,"UROGEN PHARMA, INC.",FOOD AND BEVERAGE,UROTHELIAL CANCER,JELMYTO,23.83,1
276,"BAUNE, MONIQUE",1063585206.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.38,1
277,"BAYOLA, RICARDO",1073673901.0,INTERNAL MEDICINE,"OTSUKA AMERICA PHARMACEUTICAL, INC.",FOOD AND BEVERAGE,PSYCHIATRY,ABILIFY MAINTENA,17.51,1
278,"BEADLE, EDWARD",1598848731.0,OBSTETRICS & GYNECOLOGY,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,16.5,1
279,"BEALS, STEVEN",1598981995.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,16.07,1
280,"BEBEAU, MICHELLE",1538231527.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,11.66,1
281,"BECKER, COREY",1184735359.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,18.84,1
282,"BECKER, SIUPO",1073575742.0,INTERNAL MEDICINE,NOVO NORDISK INC,EDUCATION,OBESITY,WEGOVY,161.35000000000002,5
283,"BEDI, GURDESH",1992908826.0,NEUROLOGY,"ARGENX US, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,VYVGART,19.58,1
284,"BEEBE, DAVE",1255421277.0,ANESTHESIOLOGY,ACACIA PHARMA INC,FOOD AND BEVERAGE,ANESTHESIOLOGY,BYFAVO,77.25,1
285,"BEEHLER, AMANDA",1538308242.0,DERMATOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,IMMUNOLOGY,SOTYKTU,100.84,1
286,"BELANI, KIRAN",1639145758.0,PEDIATRIC INFECTIOUS DISEASES,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,ACTIMMUNE,ACTIMMUNE,264.49,5
287,"BELANI, KIRAN",1639145758.0,PEDIATRIC INFECTIOUS DISEASES,HORIZON THERAPEUTICS PLC,HONORARIA,ACTIMMUNE,ACTIMMUNE,22000.0,7
288,"BELANI, KIRAN",1639145758.0,PEDIATRIC INFECTIOUS DISEASES,HORIZON THERAPEUTICS PLC,TRAVEL AND LODGING,ACTIMMUNE,ACTIMMUNE,3457.8,12
289,"BELLAIRS, ELLEN",1952378044.0,RADIATION ONCOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",ONCOLOGY,XOFIGO,436.0,1
290,"BELLAIRS, ELLEN",1952378044.0,RADIATION ONCOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,ONCOLOGY,NUBEQA,18.67,1
